Name,Type,Contributers,Status,LastEdited
GroupTheory,FurtherDiscrete,Tobias,Just some checking,25.5.21
LPinGameTheory,FurtherDiscrete,Tobias,Just some checking,25.5.21
MixedStrategies,FurtherDiscrete,Tobias,Just some checking,25.5.21
ActivityNetworks,FurtherDiscrete,Tobias,Just some checking,25.5.21
BinaryOperations,FurtherDiscrete,Tobias,Just some checking,25.5.21
FundamentalsofGameTheory,FurtherDiscrete,Tobias,Just some checking,25.5.21
FundamentalsofGraphTheory,FurtherDiscrete,Tobias,Just some checking,25.5.21
FirstOrderDifferentialEquations,FurtherPure-DifferentialEquations,Tobias,Just some checking,25.5.21
GraphIsomorphismandPlanarGraphs,FurtherDiscrete,Tobias,Needs a couple of complicated tikz pictures...,25.5.21
GanttChartsandResourceHistograms,FurtherDiscrete,Tobias,Just some checking,25.5.21
TheArgandDiagram,FurtherPure-ComplexNumbers,Tobias,Just some checking,18.5.21
ComplexRootsofEquation,FurtherPure-ComplexNumbers,Tobias,Just some checking,20.5.21
DifferentiatingIntegratingInverseTrigFunctions,FurtherPure-FurtherCalculus,Yavuz,done,22.5.21
Limits,FurtherPure-FurtherCalculus,Tobias,Just some checking,22.5.21
FundamentalsOfComplexNumbers,FurtherPure-ComplexNumbers,Liam,done,24.5.21
LinearProgrammingGraphicalSolution,FurtherDiscrete,Tobias,Peer Checking,28.5.21
LinearProgrammingSimplexAlgorithm,FurtherDiscrete,Tobias,Just some checking,30.5.21

